pbp_a_hnumber	pbp_a_plan_identifier	segment_id	pbp_a_ben_cov	pbp_a_plan_type	orgtype	bid_id	version	pbp_vbid_group_id	pbp_b13i_bendesc	pbp_b13i_fd_bendesc_yn	pbp_b13i_fd_bendesc_amo	pbp_b13i_fd_maxplan_yn	pbp_b13i_fd_maxplan_amt	pbp_b13i_fd_maxplan_per	pbp_b13i_fd_maxplan_per_d	pbp_b13i_fd_maxenr_yn	pbp_b13i_fd_maxenr_amt	pbp_b13i_fd_maxenr_per	pbp_b13i_fd_maxenr_per_d	pbp_b13i_fd_coins_yn	pbp_b13i_fd_coins_pct_min	pbp_b13i_fd_coins_pct_max	pbp_b13i_fd_ded_yn	pbp_b13i_fd_ded_amt	pbp_b13i_fd_copay_yn	pbp_b13i_fd_copay_amt_min	pbp_b13i_fd_copay_amt_max	pbp_b13i_fd_auth_yn	pbp_b13i_fd_refer_yn	pbp_b13i_ml_bendesc_service	pbp_b13i_ml_bendesc_amo	pbp_b13i_ml_unlimited_yn	pbp_b13i_ml_maxplan_yn	pbp_b13i_ml_maxplan_amt	pbp_b13i_ml_maxplan_per	pbp_b13i_ml_maxplan_per_d	pbp_b13i_ml_maxenr_yn	pbp_b13i_ml_maxenr_amt	pbp_b13i_ml_maxenr_per	pbp_b13i_ml_maxenr_per_d	pbp_b13i_ml_coins_yn	pbp_b13i_ml_coins_pct_min	pbp_b13i_ml_coins_pct_max	pbp_b13i_ml_ded_yn	pbp_b13i_ml_ded_amt	pbp_b13i_ml_copay_yn	pbp_b13i_ml_copay_amt_min	pbp_b13i_ml_copay_amt_max	pbp_b13i_ml_auth_yn	pbp_b13i_ml_refer_yn	pbp_b13i_ps_bendesc_yn	pbp_b13i_ps_bendesc_amo	pbp_b13i_ps_maxplan_yn	pbp_b13i_ps_maxplan_amt	pbp_b13i_ps_maxplan_per	pbp_b13i_ps_maxplan_per_d	pbp_b13i_ps_maxenr_yn	pbp_b13i_ps_maxenr_amt	pbp_b13i_ps_maxenr_per	pbp_b13i_ps_maxenr_per_d	pbp_b13i_ps_coins_yn	pbp_b13i_ps_coins_pct_min	pbp_b13i_ps_coins_pct_max	pbp_b13i_ps_ded_yn	pbp_b13i_ps_ded_amt	pbp_b13i_ps_copay_yn	pbp_b13i_ps_copay_amt_min	pbp_b13i_ps_copay_amt_max	pbp_b13i_ps_auth_yn	pbp_b13i_ps_refer_yn	pbp_b13i_t_bendesc_yn	pbp_b13i_t_bendesc_trn	pbp_b13i_t_bendesc_amo_pal	pbp_b13i_t_bendesc_lim_pal	pbp_b13i_t_bendesc_amt_pal	pbp_b13i_t_bendesc_per_pal	pbp_b13i_t_bendesc_per_pal_d	pbp_b13i_t_bendesc_tt_pal	pbp_b13i_t_bendesc_tt_pal_d	pbp_b13i_t_bendesc_amt_pal_day	pbp_b13i_t_bendesc_mt_pal	pbp_b13i_t_bendesc_mt_pal_d	pbp_b13i_t_bendesc_amo_al	pbp_b13i_t_bendesc_lim_al	pbp_b13i_t_bendesc_amt_al	pbp_b13i_t_bendesc_per_al	pbp_b13i_t_bendesc_per_al_d	pbp_b13i_t_bendesc_tt_al	pbp_b13i_t_bendesc_tt_al_d	pbp_b13i_t_bendesc_amt_al_days	pbp_b13i_t_bendesc_mt_al	pbp_b13i_t_bendesc_mt_al_d	pbp_b13i_t_maxplan_yn	pbp_b13i_t_maxplan_amt	pbp_b13i_t_maxplan_per	pbp_b13i_t_maxplan_per_d	pbp_b13i_t_maxenr_yn	pbp_b13i_t_maxenr_amt	pbp_b13i_t_maxenr_per	pbp_b13i_t_maxenr_per_d	pbp_b13i_t_coins_yn	pbp_b13i_t_coins_pct_min	pbp_b13i_t_coins_pct_max	pbp_b13i_t_ded_yn	pbp_b13i_t_ded_amt	pbp_b13i_t_copay_yn	pbp_b13i_t_copay_amt_min	pbp_b13i_t_copay_amt_max	pbp_b13i_t_auth_yn	pbp_b13i_t_refer_yn	pbp_b13i_air_bendesc_yn	pbp_b13i_air_bendesc_amo	pbp_b13i_air_maxplan_yn	pbp_b13i_air_maxplan_amt	pbp_b13i_air_maxplan_per	pbp_b13i_air_maxplan_per_d	pbp_b13i_air_maxenr_yn	pbp_b13i_air_maxenr_amt	pbp_b13i_air_maxenr_per	pbp_b13i_air_maxenr_per_d	pbp_b13i_air_coins_yn	pbp_b13i_air_coins_pct_min	pbp_b13i_air_coins_pct_max	pbp_b13i_air_ded_yn	pbp_b13i_air_ded_amt	pbp_b13i_air_copay_yn	pbp_b13i_air_copay_amt_min	pbp_b13i_air_copay_amt_max	pbp_b13i_air_auth_yn	pbp_b13i_air_refer_yn	pbp_b13i_socn_bendesc_yn	pbp_b13i_socn_bendesc_amo	pbp_b13i_socn_maxplan_yn	pbp_b13i_socn_maxplan_amt	pbp_b13i_socn_maxplan_per	pbp_b13i_socn_maxplan_per_d	pbp_b13i_socn_maxenr_yn	pbp_b13i_socn_maxenr_amt	pbp_b13i_socn_maxenr_per	pbp_b13i_socn_maxenr_per_d	pbp_b13i_socn_coins_yn	pbp_b13i_socn_coins_pct_min	pbp_b13i_socn_coins_pct_max	pbp_b13i_socn_ded_yn	pbp_b13i_socn_ded_amt	pbp_b13i_socn_copay_yn	pbp_b13i_socn_copay_amt_min	pbp_b13i_socn_copay_amt_max	pbp_b13i_socn_auth_yn	pbp_b13i_socn_refer_yn	pbp_b13i_cmptx_bendesc_yn	pbp_b13i_cmptx_bendesc_amo	pbp_b13i_cmptx_maxplan_yn	pbp_b13i_cmptx_maxplan_amt	pbp_b13i_cmptx_maxplan_per	pbp_b13i_cmptx_maxplan_per_d	pbp_b13i_cmptx_maxenr_yn	pbp_b13i_cmptx_maxenr_amt	pbp_b13i_cmptx_maxenr_per	pbp_b13i_cmptx_maxenr_per_d	pbp_b13i_cmptx_coins_yn	pbp_b13i_cmptx_coins_pct_min	pbp_b13i_cmptx_coins_pct_max	pbp_b13i_cmptx_ded_yn	pbp_b13i_cmptx_ded_amt	pbp_b13i_cmptx_copay_yn	pbp_b13i_cmptx_copay_amt_min	pbp_b13i_cmptx_copay_amt_max	pbp_b13i_cmptx_auth_yn	pbp_b13i_cmptx_refer_yn	pbp_b13i_selfd_bendesc_yn	pbp_b13i_selfd_bendesc_amo	pbp_b13i_selfd_maxplan_yn	pbp_b13i_selfd_maxplan_amt	pbp_b13i_selfd_maxplan_per	pbp_b13i_selfd_maxplan_per_d	pbp_b13i_selfd_maxenr_yn	pbp_b13i_selfd_maxenr_amt	pbp_b13i_selfd_maxenr_per	pbp_b13i_selfd_maxenr_per_d	pbp_b13i_selfd_coins_yn	pbp_b13i_selfd_coins_pct_min	pbp_b13i_selfd_coins_pct_max	pbp_b13i_selfd_ded_yn	pbp_b13i_selfd_ded_amt	pbp_b13i_selfd_copay_yn	pbp_b13i_selfd_copay_amt_min	pbp_b13i_selfd_copay_amt_max	pbp_b13i_selfd_auth_yn	pbp_b13i_selfd_refer_yn	pbp_b13i_home_bendesc_yn	pbp_b13i_home_bendesc_amo	pbp_b13i_home_maxplan_yn	pbp_b13i_home_maxplan_amt	pbp_b13i_home_maxplan_per	pbp_b13i_home_maxplan_per_d	pbp_b13i_home_maxenr_yn	pbp_b13i_home_maxenr_amt	pbp_b13i_home_maxenr_per	pbp_b13i_home_maxenr_per_d	pbp_b13i_home_coins_yn	pbp_b13i_home_coins_pct_min	pbp_b13i_home_coins_pct_max	pbp_b13i_home_ded_yn	pbp_b13i_home_ded_amt	pbp_b13i_home_copay_yn	pbp_b13i_home_copay_amt_min	pbp_b13i_home_copay_amt_max	pbp_b13i_home_auth_yn	pbp_b13i_home_refer_yn	pbp_b13i_suppt_bendesc_yn	pbp_b13i_suppt_bendesc_amo	pbp_b13i_suppt_maxplan_yn	pbp_b13i_suppt_maxplan_amt	pbp_b13i_suppt_maxplan_per	pbp_b13i_suppt_maxplan_per_d	pbp_b13i_suppt_maxenr_yn	pbp_b13i_suppt_maxenr_amt	pbp_b13i_suppt_maxenr_per	pbp_b13i_suppt_maxenr_per_d	pbp_b13i_suppt_coins_yn	pbp_b13i_suppt_coins_pct_min	pbp_b13i_suppt_coins_pct_max	pbp_b13i_suppt_ded_yn	pbp_b13i_suppt_ded_amt	pbp_b13i_suppt_copay_yn	pbp_b13i_suppt_copay_amt_min	pbp_b13i_suppt_copay_amt_max	pbp_b13i_suppt_housing_yn	pbp_b13i_suppt_utility_yn	pbp_b13i_suppt_auth_yn	pbp_b13i_suppt_refer_yn
H0028	007	0	1	01	01	H0028_007_0	5	1	1101111000	1	2	2				2				2			2		2			2	2																						1	2	2				2				2			2		2			2	2	1	2											2	1				1			011111		2				2				2			2		2			2	2	1	2	2				2				2			2		2			2	2	1	2	2				2				2			2		2			2	2																																																													1	2	2				2				2			2		2			1	1	2	2
H0028	015	0	1	02	01	H0028_015_0	5	1	1101111000	1	2	2				2				2			2		2			2	2																						1	2	2				2				2			2		2			2	2	1	2											2	1				1			011111		2				2				2			2		2			2	2	1	2	2				2				2			2		2			2	2	1	2	2				2				2			2		2			2	2																																																													1	2	2				2				2			2		2			1	1	2	2
H0028	032	0	1	01	01	H0028_032_0	5	1	1101111000	1	2	2				2				2			2		2			2	2																						1	2	2				2				2			2		2			2	2	1	2											2	1				1			011111		2				2				2			2		2			2	2	1	2	2				2				2			2		2			2	2	1	2	2				2				2			2		2			2	2																																																													1	2	2				2				2			2		2			1	1	2	2
H0028	036	0	1	01	01	H0028_036_0	6	1	1101111000	1	2	2				2				2			2		2			2	2																						1	2	2				2				2			2		2			2	2	1	2											2	1				1			011111		2				2				2			2		2			2	2	1	2	2				2				2			2		2			2	2	1	2	2				2				2			2		2			2	2																																																													1	2	2				2				2			2		2			1	1	2	2
H0028	039	0	1	01	01	H0028_039_0	5	1	1111111010	1	2	2				2				2			2		2			1	2	1	2	1	2				2				2			2		2			1	2	1	2	2				2				2			2		2			1	2	1	2											2	1				1			011111		2				2				2			2		2			1	2	1	2	2				2				2			2		2			1	2	1	2	2				2				2			2		2			1	2																					1	2	2				2				2			2		2			1	2																					1	2	2				2				2			2		2			1	1	1	2
H0028	046	0	1	01	01	H0028_046_0	3	1	1111111010	1	2	2				2				2			2		2			1	2	1	2	1	2				2				2			2		2			1	2	1	2	2				2				2			2		2			1	2	1	1	2	1				1			011111												2				2				2			2		2			1	2	1	2	2				2				2			2		2			1	2	1	2	2				2				2			2		2			1	2																					1	2	2				2				2			2		2			1	2																					1	2	2				2				2			2		2			1	1	1	2
H0028	051	0	1	01	01	H0028_051_0	4	1	1101111000	1	2	2				2				2			2		2			2	2																						1	2	2				2				2			2		2			2	2	1	2											2	1				1			011111		2				2				2			2		2			2	2	1	2	2				2				2			2		2			2	2	1	2	2				2				2			2		2			2	2																																																													1	2	2				2				2			2		2			1	1	2	2
H0028	055	0	1	02	01	H0028_055_0	5	1	1101111000	1	2	2				2				2			2		2			2	2																						1	2	2				2				2			2		2			2	2	1	2											2	1				1			011111		2				2				2			2		2			2	2	1	2	2				2				2			2		2			2	2	1	2	2				2				2			2		2			2	2																																																													1	2	2				2				2			2		2			1	1	2	2
H0028	056	0	1	02	01	H0028_056_0	5	1	1101111000	1	2	2				2				2			2		2			2	2																						1	2	2				2				2			2		2			2	2	1	2											2	1				1			011111		2				2				2			2		2			2	2	1	2	2				2				2			2		2			2	2	1	2	2				2				2			2		2			2	2																																																													1	2	2				2				2			2		2			1	1	2	2
H0028	060	0	1	01	01	H0028_060_0	5	1	1101111000	1	2	2				2				2			2		2			2	2																						1	2	2				2				2			2		2			2	2	1	2											2	1				1			011111		2				2				2			2		2			2	2	1	2	2				2				2			2		2			2	2	1	2	2				2				2			2		2			2	2																																																													1	2	2				2				2			2		2			1	1	2	2
H0028	067	0	1	02	01	H0028_067_0	4	1	1101111000	1	2	2				2				2			2		2			2	2																						1	2	2				2				2			2		2			2	2	1	2											2	1				1			011111		2				2				2			2		2			2	2	1	2	2				2				2			2		2			2	2	1	2	2				2				2			2		2			2	2																																																													1	2	2				2				2			2		2			1	1	2	2
H0028	076	0	1	01	01	H0028_076_0	4	1	1101111000	1	2	2				2				2			2		2			2	2																						1	2	2				2				2			2		2			2	2	1	2											2	1				1			011111		2				2				2			2		2			2	2	1	2	2				2				2			2		2			2	2	1	2	2				2				2			2		2			2	2																																																													1	2	2				2				2			2		2			1	1	2	2
H0028	077	0	1	01	01	H0028_077_0	4	1	1101111000	1	2	2				2				2			2		2			2	2																						1	2	2				2				2			2		2			2	2	1	2											2	1				1			011111		2				2				2			2		2			2	2	1	2	2				2				2			2		2			2	2	1	2	2				2				2			2		2			2	2																																																													1	2	2				2				2			2		2			1	1	2	2
H0028	078	0	1	01	01	H0028_078_0	5	1	1101111000	1	2	2				2				2			2		2			2	2																						1	2	2				2				2			2		2			2	2	1	2											2	1				1			011111		2				2				2			2		2			2	2	1	2	2				2				2			2		2			2	2	1	2	2				2				2			2		2			2	2																																																													1	2	2				2				2			2		2			1	1	2	2
H0028	079	0	1	01	01	H0028_079_0	4	1	1101111000	1	2	2				2				2			2		2			2	2																						1	2	2				2				2			2		2			2	2	1	2											2	1				1			011111		2				2				2			2		2			2	2	1	2	2				2				2			2		2			2	2	1	2	2				2				2			2		2			2	2																																																													1	2	2				2				2			2		2			1	1	2	2
H0028	080	0	1	01	01	H0028_080_0	4	1	1101111000	1	2	2				2				2			2		2			2	2																						1	2	2				2				2			2		2			2	2	1	2											2	1				1			011111		2				2				2			2		2			2	2	1	2	2				2				2			2		2			2	2	1	2	2				2				2			2		2			2	2																																																													1	2	2				2				2			2		2			1	1	2	2
H0029	007	0	1	02	01	H0029_007_0	8	1	1111110001	1	2	2				2				2			2		1	0.00	0.00	2	2	1	2	1	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	2	2	1	2											2	1				5	Gas pay-at-pump		100000	Gas pay-at-pump	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	2	2																																																													1	2	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	1	1	2	2
H0029	008	0	1	02	01	H0029_008_0	8	1	1111110001	1	2	2				2				2			2		1	0.00	0.00	2	2	1	2	1	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	2	2	1	2											2	1				5	Gas pay-at-pump		100000	Gas pay-at-pump	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	2	2																																																													1	2	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	1	1	2	2
H0029	010	0	1	02	01	H0029_010_0	8	1	1111110001	1	2	2				2				2			2		1	0.00	0.00	2	2	1	2	1	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	2	2	1	2											2	1				5	Gas pay-at-pump		100000	Gas pay-at-pump	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	2	2																																																													1	2	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	1	1	2	2
H0034	001	0	1	01	01	H0034_001_0	8	1	1100000000	1	2	2				2				2			2		2			2	2																																																																																																																																																																																						1	2	2				2				2			2		2			2	1	2	2
H0034	002	0	1	01	01	H0034_002_0	11	1	1100000000	1	2	2				2				2			2		2			2	2																																																																																																																																																																																						1	2	2				2				2			2		2			2	1	2	2
H0062	011	0	1	01	01	H0062_011_0	7	1	1111110001	1	2	2				2				2			2		1	0.00	0.00	2	2	1	2	1	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	2	2	1	2											2	1				5	Gas pay-at-pump		100000	Gas pay-at-pump	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	2	2																																																													1	2	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	1	1	2	2
H0062	012	0	1	01	01	H0062_012_0	7	1	1111110001	1	2	2				2				2			2		1	0.00	0.00	2	2	1	2	1	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	2	2	1	2											2	1				5	Gas pay-at-pump		100000	Gas pay-at-pump	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	2	2																																																													1	2	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	1	1	2	2
H0074	004	0	1	04	01	H0074_004_0	8	1	1111110001	1	2	2				2				2			2		1	0.00	0.00	2	2	1	2	1	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	2	2	1	2											2	1				5	Gas pay-at-pump		100000	Gas pay-at-pump	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	2	2																																																													1	2	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	1	1	2	2
H0154	012	0	1	01	01	H0154_012_0	4	1	0100000000	1	2	1	0.00	7		2				2			2		2			2	2																																																																																																																																																																																																											
H0154	019	0	1	01	01	H0154_019_0	4	1	0100000000	1	2	1	0.00	7		2				2			2		2			2	2																																																																																																																																																																																																											
H0169	001	0	1	02	01	H0169_001_0	4	1	1100000000	1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	2																																																																																																																																																																																						1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	1	2	2
H0169	002	0	1	02	01	H0169_002_0	4	1	1100000000	1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	2																																																																																																																																																																																						1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	1	2	2
H0169	003	0	1	02	01	H0169_003_0	4	1	1100000000	1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	2																																																																																																																																																																																						1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	1	2	2
H0169	004	0	1	02	01	H0169_004_0	4	1	1100000000	1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	2																																																																																																																																																																																						1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	1	2	2
H0169	006	0	1	02	01	H0169_006_0	4	1	1100000000	1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	2																																																																																																																																																																																						1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	1	2	2
H0169	008	0	1	02	01	H0169_008_0	4	1	1100000000	1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	2																																																																																																																																																																																						1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	1	2	2
H0169	009	0	1	02	01	H0169_009_0	4	1	1100000000	1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	2																																																																																																																																																																																						1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	1	2	2
H0169	010	0	1	02	01	H0169_010_0	4	1	1100000000	1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	2																																																																																																																																																																																						1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	1	2	2
H0174	004	0	1	01	01	H0174_004_0	6	1	1111110001	1	2	2				2				2			2		1	0.00	0.00	2	2	1	2	1	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	2	2	1	2											2	1				5	Gas pay-at-pump		100000	Gas pay-at-pump	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	2	2																																																													1	2	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	1	1	2	2
H0174	006	0	1	01	01	H0174_006_0	7	1	1111110001	1	2	2				2				2			2		1	0.00	0.00	2	2	1	2	1	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	2	2	1	2											2	1				5	Gas pay-at-pump		100000	Gas pay-at-pump	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	2	2																																																													1	2	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	1	1	2	2
H0174	022	0	1	01	01	H0174_022_0	6	1	1111110001	1	2	2				2				2			2		1	0.00	0.00	2	2	1	2	1	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	2	2	1	2											2	1				5	Gas pay-at-pump		100000	Gas pay-at-pump	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	2	2																																																													1	2	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	1	1	2	2
H0174	023	0	1	01	01	H0174_023_0	7	1	1111110001	1	2	2				2				2			2		1	0.00	0.00	2	2	1	2	1	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	2	2	1	2											2	1				5	Gas pay-at-pump		100000	Gas pay-at-pump	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	2	2																																																													1	2	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	1	1	2	2
H0174	024	0	1	01	01	H0174_024_0	7	1	1111110001	1	2	2				2				2			2		1	0.00	0.00	2	2	1	2	1	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	2	2	1	2											2	1				5	Gas pay-at-pump		100000	Gas pay-at-pump	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	2	2																																																													1	2	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	1	1	2	2
H0174	025	0	1	01	01	H0174_025_0	7	1	1111110001	1	2	2				2				2			2		1	0.00	0.00	2	2	1	2	1	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	2	2	1	2											2	1				5	Gas pay-at-pump		100000	Gas pay-at-pump	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	2	2																																																													1	2	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	1	1	2	2
H0174	026	0	1	01	01	H0174_026_0	6	1	1111110001	1	2	2				2				2			2		1	0.00	0.00	2	2	1	2	1	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	2	2	1	2											2	1				5	Gas pay-at-pump		100000	Gas pay-at-pump	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	2	2																																																													1	2	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	1	1	2	2
H0251	002	0	1	02	01	H0251_002_0	4	1	1100000000	1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	2																																																																																																																																																																																						1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	1	2	2
H0251	004	0	1	02	01	H0251_004_0	4	1	1100000000	1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	2																																																																																																																																																																																						1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	1	2	2
H0251	008	0	1	02	01	H0251_008_0	4	1	1100000000	1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	2																																																																																																																																																																																						1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	1	2	2
H0294	002	0	1	04	01	H0294_002_0	4	1	0100000000	1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	2																																																																																																																																																																																																											
H0294	027	0	1	04	01	H0294_027_0	4	1	1100000000	1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	2																																																																																																																																																																																						1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	1	2	2
H0294	048	0	1	04	01	H0294_048_0	4	1	0100000000	1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	2																																																																																																																																																																																																											
H0294	049	0	1	04	01	H0294_049_0	4	1	1100000000	1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	2																																																																																																																																																																																						1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	1	2	2
H0294	050	0	1	04	01	H0294_050_0	4	1	1100000000	1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	2																																																																																																																																																																																						1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	1	2	2
H0294	051	0	1	04	01	H0294_051_0	4	1	1100000000	1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	2																																																																																																																																																																																						1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	1	2	2
H0321	002	0	1	02	01	H0321_002_0	4	1	1100000000	1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	2																																																																																																																																																																																						1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	1	2	2
H0321	004	0	1	02	01	H0321_004_0	5	1	1100100000	1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	2																																										1	1	2	2	0	3		1			110010	Car or livery service											2				2				2			2		2			2	2																																																																																																					1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	1	2	2
H0351	066	0	1	02	01	H0351_066_0	8	1	1111110001	1	2	2				2				2			2		1	0.00	0.00	2	2	1	2	1	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	2	2	1	2											2	1				5	Gas pay-at-pump		100000	Gas pay-at-pump	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	2	2																																																													1	2	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	1	1	2	2
H0351	068	0	1	02	01	H0351_068_0	8	1	1111110001	1	2	2				2				2			2		1	0.00	0.00	2	2	1	2	1	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	2	2	1	2											2	1				5	Gas pay-at-pump		100000	Gas pay-at-pump	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	2	2																																																													1	2	2				2				2			2		1	0.00	0.00	2	2	1	2	2				2				2			2		1	0.00	0.00	1	1	2	2
H0354	027	0	1	01	01	H0354_027_0	4	1	0100000000	1	2	1	75.00	5		2				2			2		2			2	2																																																																																																																																																																																																											
H0363	001	0	1	01	01	H0363_001_0	4	1	0000101000																																																														1	1	2	2	16	3		1			000011												2				2				2			2		2			2	2																					1	2	2				2				2			2		2			1	1																																																																																		
H0413	003	0	1	04	01	H0413_003_0	7	1	1100000000	1	2	2				2				2			2		2			2	2																																																																																																																																																																																						1	2	2				2				2			2		2			1	1	2	2
H0421	001	0	1	04	01	H0421_001_0	4	1	1100000000	1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	2																																																																																																																																																																																						1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	1	2	2
H0423	001	0	1	01	01	H0423_001_0	7	1	1100000000	1	2	1	0.00	5		2				2			2		2			2	2																																																																																																																																																																																						1	2	1	0.00	5		2				2			2		2			2	1	2	2
H0423	007	0	1	01	01	H0423_007_0	7	1	1100000000	1	2	1	0.00	5		2				2			2		2			2	2																																																																																																																																																																																						1	2	1	0.00	5		2				2			2		2			2	1	2	2
H0432	009	0	1	02	01	H0432_009_0	4	1	1100000000	1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	2																																																																																																																																																																																						1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	1	2	2
H0432	013	0	1	02	01	H0432_013_0	4	1	1100000000	1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	2																																																																																																																																																																																						1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	1	2	2
H0432	017	0	1	02	01	H0432_017_0	4	1	0100000000	1	2	1	0.00	7		2				2			2		1	0.00	0.00	2	2																																																																																																																																																																																																											
