pbp_a_hnumber	pbp_a_plan_identifier	segment_id	pbp_a_ben_cov	pbp_a_plan_type	orgtype	bid_id	version	pbp_vbid_group_id	pbp_b16b_maxplan_pv_yn	pbp_b16b_maxplan_pv_in_oon	pbp_b16b_maxplan_pv_amt	pbp_b16b_maxplan_pv_per	pbp_b16b_maxplan_pv_per_desc	pbp_b16b_maxenr_pv_yn	pbp_b16b_maxenr_pv_amt	pbp_b16b_maxenr_pv_per	pbp_b16b_maxenr_pv_per_desc	pbp_b16b_coins_ov_yn	pbp_b16b_coins_ov_svcs	pbp_b16b_coins_ov_pct	pbp_b16b_coins_ov_pct_min	pbp_b16b_coins_ov_pct_max	pbp_b16b_copay_ov_yn	pbp_b16b_copay_ov_svcs	pbp_b16b_copay_ov_amt	pbp_b16b_copay_ov_amt_min	pbp_b16b_copay_ov_amt_max	pbp_b16b_ded_pv_yn	pbp_b16b_ded_pv_amt	pbp_b16b_bendesc_oe_amo	pbp_b16b_bendesc_oe_lim	pbp_b16b_bendesc_oe_num	pbp_b16b_bendesc_oe_per	pbp_b16b_bendesc_oe_desc	pbp_b16b_coins_oe_yn	pbp_b16b_coins_oe_pct	pbp_b16b_coins_oe_pct_min	pbp_b16b_coins_oe_pct_max	pbp_b16b_copay_oe_yn	pbp_b16b_copay_oe_amt	pbp_b16b_copay_oe_amt_min	pbp_b16b_copay_oe_amt_max	pbp_b16b_auth_oe_yn	pbp_b16b_refer_oe_yn	pbp_b16b_bendesc_dx_amo	pbp_b16b_bendesc_dx_lim	pbp_b16b_bendesc_dx_num	pbp_b16b_bendesc_dx_per	pbp_b16b_bendesc_dx_desc	pbp_b16b_coins_dx_yn	pbp_b16b_coins_dx_pct	pbp_b16b_coins_dx_pct_min	pbp_b16b_coins_dx_pct_max	pbp_b16b_copay_dx_yn	pbp_b16b_copay_dx_amt	pbp_b16b_copay_dx_amt_min	pbp_b16b_copay_dx_amt_max	pbp_b16b_auth_dx_yn	pbp_b16b_refer_dx_yn	pbp_b16b_bendesc_ods_amo	pbp_b16b_bendesc_ods_lim	pbp_b16b_bendesc_ods_num	pbp_b16b_bendesc_ods_per	pbp_b16b_bendesc_ods_desc	pbp_b16b_coins_ods_yn	pbp_b16b_coins_ods_pct	pbp_b16b_coins_ods_pct_min	pbp_b16b_coins_ods_pct_max	pbp_b16b_copay_ods_yn	pbp_b16b_copay_ods_amt	pbp_b16b_copay_ods_amt_min	pbp_b16b_copay_ods_amt_max	pbp_b16b_auth_ods_yn	pbp_b16b_refer_ods_yn	pbp_b16b_bendesc_pc_amo	pbp_b16b_bendesc_pc_lim	pbp_b16b_bendesc_pc_num	pbp_b16b_bendesc_pc_per	pbp_b16b_bendesc_pc_desc	pbp_b16b_coins_pc_yn	pbp_b16b_coins_pc_pct	pbp_b16b_coins_pc_pct_min	pbp_b16b_coins_pc_pct_max	pbp_b16b_copay_pc_yn	pbp_b16b_copay_pc_amt	pbp_b16b_copay_pc_amt_min	pbp_b16b_copay_pc_amt_max	pbp_b16b_auth_pc_yn	pbp_b16b_refer_pc_yn	pbp_b16b_bendesc_ft_amo	pbp_b16b_bendesc_ft_lim	pbp_b16b_bendesc_ft_num	pbp_b16b_bendesc_ft_per	pbp_b16b_bendesc_ft_desc	pbp_b16b_coins_ft_yn	pbp_b16b_coins_ft_pct	pbp_b16b_coins_ft_pct_min	pbp_b16b_coins_ft_pct_max	pbp_b16b_copay_ft_yn	pbp_b16b_copay_ft_amt	pbp_b16b_copay_ft_amt_min	pbp_b16b_copay_ft_amt_max	pbp_b16b_auth_ft_yn	pbp_b16b_refer_ft_yn	pbp_b16b_bendesc_ops_amo	pbp_b16b_bendesc_ops_lim	pbp_b16b_bendesc_ops_num	pbp_b16b_bendesc_ops_per	pbp_b16b_bendesc_ops_desc	pbp_b16b_coins_ops_yn	pbp_b16b_coins_ops_pct	pbp_b16b_coins_ops_pct_min	pbp_b16b_coins_ops_pct_max	pbp_b16b_copay_ops_yn	pbp_b16b_copay_ops_amt	pbp_b16b_copay_ops_amt_min	pbp_b16b_copay_ops_amt_max	pbp_b16b_auth_ops_yn	pbp_b16b_refer_ops_yn	pbp_b16c_maxplan_cmp_yn	pbp_b16c_maxplan_cmp_type	pbp_b16c_maxplan_cmp_in_oon	pbp_b16c_maxplan_cmp_amt	pbp_b16c_maxplan_cmp_per	pbp_b16c_maxplan_cmp_per_desc	pbp_b16c_maxenr_cmp_yn	pbp_b16c_maxenr_cmp_type	pbp_b16c_maxenr_cmp_amt	pbp_b16c_maxenr_cmp_per	pbp_b16c_maxenr_cmp_per_desc	pbp_b16c_ded_cmp_yn	pbp_b16c_ded_cmp_amt	pbp_b16c_bendesc_rs_amo	pbp_b16c_bendesc_rs_lim	pbp_b16c_bendesc_rs_num	pbp_b16c_bendesc_rs_per	pbp_b16c_bendesc_rs_desc	pbp_b16c_coins_rs_yn	pbp_b16c_coins_rs_pct	pbp_b16c_coins_rs_pct_min	pbp_b16c_coins_rs_pct_max	pbp_b16c_copay_rs_yn	pbp_b16c_copay_rs_amt	pbp_b16c_copay_rs_amt_min	pbp_b16c_copay_rs_amt_max	pbp_b16c_auth_rs_yn	pbp_b16c_refer_rs_yn	pbp_b16c_bendesc_end_amo	pbp_b16c_bendesc_end_lim	pbp_b16c_bendesc_end_num	pbp_b16c_bendesc_end_per	pbp_b16c_bendesc_end_desc	pbp_b16c_coins_end_yn	pbp_b16c_coins_end_pct	pbp_b16c_coins_end_pct_min	pbp_b16c_coins_end_pct_max	pbp_b16c_copay_end_yn	pbp_b16c_copay_end_amt	pbp_b16c_copay_end_amt_min	pbp_b16c_copay_end_amt_max	pbp_b16c_auth_end_yn	pbp_b16c_refer_end_yn	pbp_b16c_bendesc_peri_amo	pbp_b16c_bendesc_peri_lim	pbp_b16c_bendesc_peri_num	pbp_b16c_bendesc_peri_per	pbp_b16c_bendesc_peri_desc	pbp_b16c_coins_peri_yn	pbp_b16c_coins_peri_pct	pbp_b16c_coins_peri_pct_min	pbp_b16c_coins_peri_pct_max	pbp_b16c_copay_peri_yn	pbp_b16c_copay_peri_amt	pbp_b16c_copay_peri_amt_min	pbp_b16c_copay_peri_amt_max	pbp_b16c_auth_peri_yn	pbp_b16c_refer_peri_yn	pbp_b16c_bendesc_prm_amo	pbp_b16c_bendesc_prm_lim	pbp_b16c_bendesc_prm_num	pbp_b16c_bendesc_prm_per	pbp_b16c_bendesc_prm_desc	pbp_b16c_coins_prm_yn	pbp_b16c_coins_prm_pct	pbp_b16c_coins_prm_pct_min	pbp_b16c_coins_prm_pct_max	pbp_b16c_copay_prm_yn	pbp_b16c_copay_prm_amt	pbp_b16c_copay_prm_amt_min	pbp_b16c_copay_prm_amt_max	pbp_b16c_auth_prm_yn	pbp_b16c_refer_prm_yn	pbp_b16c_bendesc_mxpr_amo	pbp_b16c_bendesc_mxpr_lim	pbp_b16c_bendesc_mxpr_num	pbp_b16c_bendesc_mxpr_per	pbp_b16c_bendesc_mxpr_desc	pbp_b16c_coins_mxpr_yn	pbp_b16c_coins_mxpr_pct	pbp_b16c_coins_mxpr_pct_min	pbp_b16c_coins_mxpr_pct_max	pbp_b16c_copay_mxpr_yn	pbp_b16c_copay_mxpr_amt	pbp_b16c_copay_mxpr_amt_min	pbp_b16c_copay_mxpr_amt_max	pbp_b16c_auth_mxpr_yn	pbp_b16c_refer_mxpr_yn	pbp_b16c_bendesc_impl_amo	pbp_b16c_bendesc_impl_lim	pbp_b16c_bendesc_impl_num	pbp_b16c_bendesc_impl_per	pbp_b16c_bendesc_impl_desc	pbp_b16c_coins_impl_yn	pbp_b16c_coins_impl_pct	pbp_b16c_coins_impl_pct_min	pbp_b16c_coins_impl_pct_max	pbp_b16c_copay_impl_yn	pbp_b16c_copay_impl_amt	pbp_b16c_copay_impl_amt_min	pbp_b16c_copay_impl_amt_max	pbp_b16c_auth_impl_yn	pbp_b16c_refer_impl_yn	pbp_b16c_bendesc_prf_amo	pbp_b16c_bendesc_prf_lim	pbp_b16c_bendesc_prf_num	pbp_b16c_bendesc_prf_per	pbp_b16c_bendesc_prf_desc	pbp_b16c_coins_prf_yn	pbp_b16c_coins_prf_pct	pbp_b16c_coins_prf_pct_min	pbp_b16c_coins_prf_pct_max	pbp_b16c_copay_prf_yn	pbp_b16c_copay_prf_amt	pbp_b16c_copay_prf_amt_min	pbp_b16c_copay_prf_amt_max	pbp_b16c_auth_prf_yn	pbp_b16c_refer_prf_yn	pbp_b16c_bendesc_omsg_amo	pbp_b16c_bendesc_omsg_lim	pbp_b16c_bendesc_omsg_num	pbp_b16c_bendesc_omsg_per	pbp_b16c_bendesc_omsg_desc	pbp_b16c_coins_omsg_yn	pbp_b16c_coins_omsg_pct	pbp_b16c_coins_omsg_pct_min	pbp_b16c_coins_omsg_pct_max	pbp_b16c_copay_omsg_yn	pbp_b16c_copay_omsg_amt	pbp_b16c_copay_omsg_amt_min	pbp_b16c_copay_omsg_amt_max	pbp_b16c_auth_omsg_yn	pbp_b16c_refer_omsg_yn	pbp_b16c_bendesc_orth_amo	pbp_b16c_bendesc_orth_lim	pbp_b16c_bendesc_orth_num	pbp_b16c_bendesc_orth_per	pbp_b16c_bendesc_orth_desc	pbp_b16c_coins_orth_yn	pbp_b16c_coins_orth_pct	pbp_b16c_coins_orth_pct_min	pbp_b16c_coins_orth_pct_max	pbp_b16c_copay_orth_yn	pbp_b16c_copay_orth_amt	pbp_b16c_copay_orth_amt_min	pbp_b16c_copay_orth_amt_max	pbp_b16c_auth_orth_yn	pbp_b16c_refer_orth_yn	pbp_b16c_bendesc_ags_amo	pbp_b16c_bendesc_ags_lim	pbp_b16c_bendesc_ags_num	pbp_b16c_bendesc_ags_per	pbp_b16c_bendesc_ags_desc	pbp_b16c_coins_ags_yn	pbp_b16c_coins_ags_pct	pbp_b16c_coins_ags_pct_min	pbp_b16c_coins_ags_pct_max	pbp_b16c_copay_ags_yn	pbp_b16c_copay_ags_amt	pbp_b16c_copay_ags_amt_min	pbp_b16c_copay_ags_amt_max	pbp_b16c_auth_ags_yn	pbp_b16c_refer_ags_yn
H1692	801	0	1	01	01	H1692_801_0	1	1	2					2				2					2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2						2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2
H1692	801	0	1	01	01	H1692_801_0	1	2	2					2				2					2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2						2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2
H2056	801	0	1	01	01	H2056_801_0	1	1	2					2				2					2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2						2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2
H2056	801	0	1	01	01	H2056_801_0	1	2	2					2				2					2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2						2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2
H2056	802	0	1	01	01	H2056_802_0	1	1	2					2				2					2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2						2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2
H2056	802	0	1	01	01	H2056_802_0	1	2	2					2				2					2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2						2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2
H2663	805	0	1	01	01	H2663_805_0	1	1	2					2				2					2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2						2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2
H2663	805	0	1	01	01	H2663_805_0	1	2	2					2				2					2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2						2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2
H3146	801	0	1	01	01	H3146_801_0	1	1	2					2				2					2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2						2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2
H3146	801	0	1	01	01	H3146_801_0	1	2	2					2				2					2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2						2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2
H3152	801	0	1	01	01	H3152_801_0	1	1	2					2				2					2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2						2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2
H3152	801	0	1	01	01	H3152_801_0	1	2	2					2				2					2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2						2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2
H3152	804	0	1	01	01	H3152_804_0	1	2	2					2				2					2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2						2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2
H3152	804	0	1	01	01	H3152_804_0	1	1	2					2				2					2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2						2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2
H3192	801	0	1	01	01	H3192_801_0	1	1	2					2				2					2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2						2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2
H3192	801	0	1	01	01	H3192_801_0	1	2	2					2				2					2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2						2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2
H3219	801	0	1	04	01	H3219_801_0	1	1	2					2				2					2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2						2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2
H3219	801	0	1	04	01	H3219_801_0	1	2	2					2				2					2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2						2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2
H3288	801	0	1	04	01	H3288_801_0	1	1	2					2				2					2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2						2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2
H3288	801	0	1	04	01	H3288_801_0	1	2	2					2				2					2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2						2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2
H3312	801	0	1	01	01	H3312_801_0	1	1	2					2				2					2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2						2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2
H3312	801	0	1	01	01	H3312_801_0	1	2	2					2				2					2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2						2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2
H3312	804	0	1	01	01	H3312_804_0	1	1	2					2				2					2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2						2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2
H3312	804	0	1	01	01	H3312_804_0	1	2	2					2				2					2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2						2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2
H3597	801	0	1	01	01	H3597_801_0	1	1	2					2				2					2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2						2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2
H3597	801	0	1	01	01	H3597_801_0	1	2	2					2				2					2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2						2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2
H3597	802	0	1	01	01	H3597_802_0	1	1	2					2				2					2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2						2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2
H3597	802	0	1	01	01	H3597_802_0	1	2	2					2				2					2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2						2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2
H3748	801	0	1	01	01	H3748_801_0	1	1	2					2				2					2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2						2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2
H3748	801	0	1	01	01	H3748_801_0	1	2	2					2				2					2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2						2					2		2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2	2	1				2				2				2	2
H3832	007	0	1	04	01	H3832_007_0	5	2	2					2				2					2					2		2	2	2	3		2				1	0.00	0.00	0.00	2	2																															2	2	2	3		2				1	0.00	0.00	0.00	2	2	2	2	2	6	The plan provides 2 fluoride treatments every year, at least three months apart.	2				1	0.00	0.00	0.00	2	2																2						2					2																																2	2	2	3		2				1	0.00	0.00	0.00	2	2																																																																																																									
H3832	007	0	1	04	01	H3832_007_0	5	1	2					2														2																																															2	2	2	3		2				1	0.00	0.00	0.00	2	2																															2						2					2																																2	2	3	6	2 cleaning services every year, 1 periodontal scaling and root planing service per quadrant every 2 years.	2				1	0.00	0.00	0.00	2	2																																																																																																									
H3832	007	0	1	04	01	H3832_007_0	5	3																																																																																																																2						2					2																																2	2	1	2		2				1	0.00	0.00	0.00	2	2																																																																																																									
H3832	007	0	1	04	01	H3832_007_0	5	4																																																																																																																2						2					2																																2	2	1	2		2				1	0.00	0.00	0.00	2	2																																																																																																									
H3832	008	0	1	04	01	H3832_008_0	7	1	2					2														2																																															2	2	2	3		2				1	0.00	0.00	0.00	2	2																															2						2					2																																2	2	3	6	2 cleaning services every year, 1 periodontal scaling and root planing service per quadrant every 2 years.	2				1	0.00	0.00	0.00	2	2																																																																																																									
H3832	008	0	1	04	01	H3832_008_0	7	2	2					2				2					2					2		2	2	2	3		2				1	0.00	0.00	0.00	2	2																															2	2	2	3		2				1	0.00	0.00	0.00	2	2	2	2	2	6	The plan provides 2 fluoride treatments every year, at least three months apart.	2				1	0.00	0.00	0.00	2	2																2						2					2																																2	2	2	3		2				1	0.00	0.00	0.00	2	2																																																																																																									
H3832	008	0	1	04	01	H3832_008_0	7	4																																																																																																																2						2					2																																2	2	1	2		2				1	0.00	0.00	0.00	2	2																																																																																																									
H3832	008	0	1	04	01	H3832_008_0	7	3																																																																																																																2						2					2																																2	2	1	2		2				1	0.00	0.00	0.00	2	2																																																																																																									
H3832	009	0	1	04	01	H3832_009_0	5	2	2					2				2					2					2		2	2	2	3		2				1	0.00	0.00	0.00	2	2																															2	2	2	3		2				1	0.00	0.00	0.00	2	2	2	2	2	6	The plan provides 2 fluoride treatments every year, at least three months apart.	2				1	0.00	0.00	0.00	2	2																2						2					2																																2	2	2	3		2				1	0.00	0.00	0.00	2	2																																																																																																									
H3832	009	0	1	04	01	H3832_009_0	5	1	2					2														2																																															2	2	2	3		2				1	0.00	0.00	0.00	2	2																															2						2					2																																2	2	3	6	2 cleaning services every year, 1 periodontal scaling and root planing service per quadrant every 2 years.	2				1	0.00	0.00	0.00	2	2																																																																																																									
H3832	009	0	1	04	01	H3832_009_0	5	4																																																																																																																2						2					2																																2	2	1	2		2				1	0.00	0.00	0.00	2	2																																																																																																									
H3832	009	0	1	04	01	H3832_009_0	5	3																																																																																																																2						2					2																																2	2	1	2		2				1	0.00	0.00	0.00	2	2																																																																																																									
H3832	010	0	1	04	01	H3832_010_0	5	1	2					2														2																																															2	2	2	3		2				1	0.00	0.00	0.00	2	2																															2						2					2																																2	2	3	6	2 cleaning services every year, 1 periodontal scaling and root planing service per quadrant every 2 years.	2				1	0.00	0.00	0.00	2	2																																																																																																									
H3832	010	0	1	04	01	H3832_010_0	5	2	2					2				2					2					2		2	2	2	3		2				1	0.00	0.00	0.00	2	2																															2	2	2	3		2				1	0.00	0.00	0.00	2	2	2	2	2	6	The plan provides 2 fluoride treatments every year, at least three months apart.	2				1	0.00	0.00	0.00	2	2																2						2					2																																2	2	2	3		2				1	0.00	0.00	0.00	2	2																																																																																																									
H3832	010	0	1	04	01	H3832_010_0	5	4																																																																																																																2						2					2																																2	2	1	2		2				1	0.00	0.00	0.00	2	2																																																																																																									
